term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,A,2012-01-31,7391800,2014-11-30,5817,34
36 months,A,2012-01-31,7391800,2014-12-31,15722,35
36 months,A,2012-01-31,7391800,2015-03-31,843,38
36 months,A,2012-01-31,7391800,2015-04-30,1529,39
36 months,A,2012-01-31,7391800,2015-05-31,1090,40
36 months,A,2012-02-29,8626325,,,
36 months,A,2012-02-29,8626325,2012-07-31,5600,5
36 months,A,2012-02-29,8626325,2012-08-31,5849,6
36 months,A,2012-02-29,8626325,2012-10-31,8311,8
36 months,A,2012-02-29,8626325,2012-11-30,16769,9
36 months,A,2012-02-29,8626325,2012-12-31,11703,10
36 months,A,2012-02-29,8626325,2013-01-31,6766,11
36 months,A,2012-02-29,8626325,2013-02-28,20471,12
36 months,A,2012-02-29,8626325,2013-03-31,24942,13
36 months,A,2012-02-29,8626325,2013-04-30,8509,14
36 months,A,2012-02-29,8626325,2013-05-31,37875,15
36 months,A,2012-02-29,8626325,2013-06-30,21668,16
36 months,A,2012-02-29,8626325,2013-07-31,34375,17
36 months,A,2012-02-29,8626325,2013-08-31,8034,18
36 months,A,2012-02-29,8626325,2013-09-30,16656,19
36 months,A,2012-02-29,8626325,2013-11-30,24816,21
36 months,A,2012-02-29,8626325,2013-12-31,13404,22
36 months,A,2012-02-29,8626325,2014-01-31,15053,23
36 months,A,2012-02-29,8626325,2014-02-28,8593,24
36 months,A,2012-02-29,8626325,2014-03-31,17837,25
36 months,A,2012-02-29,8626325,2014-04-30,2056,26
36 months,A,2012-02-29,8626325,2014-05-31,17025,27
36 months,A,2012-02-29,8626325,2014-06-30,468,28
36 months,A,2012-02-29,8626325,2014-07-31,4706,29
36 months,A,2012-02-29,8626325,2015-01-31,270,35
36 months,A,2012-02-29,8626325,2015-02-28,209,36
36 months,A,2012-02-29,8626325,2015-03-31,3630,37
36 months,A,2012-02-29,8626325,2015-05-31,971,39
36 months,A,2012-02-29,8626325,2015-08-31,2457,42
36 months,A,2012-03-31,9623725,,,
36 months,A,2012-03-31,9623725,2012-08-31,22000,5
36 months,A,2012-03-31,9623725,2012-09-30,7315,6
36 months,A,2012-03-31,9623725,2012-10-31,24908,7
36 months,A,2012-03-31,9623725,2012-11-30,9556,8
36 months,A,2012-03-31,9623725,2012-12-31,37155,9
36 months,A,2012-03-31,9623725,2013-01-31,6312,10
36 months,A,2012-03-31,9623725,2013-03-31,36137,12
36 months,A,2012-03-31,9623725,2013-04-30,18369,13
36 months,A,2012-03-31,9623725,2013-05-31,23303,14
36 months,A,2012-03-31,9623725,2013-07-31,21119,16
36 months,A,2012-03-31,9623725,2013-08-31,20613,17
36 months,A,2012-03-31,9623725,2013-09-30,25603,18
36 months,A,2012-03-31,9623725,2013-10-31,26648,19
36 months,A,2012-03-31,9623725,2013-11-30,16955,20
36 months,A,2012-03-31,9623725,2013-12-31,6052,21
36 months,A,2012-03-31,9623725,2014-01-31,21612,22
36 months,A,2012-03-31,9623725,2014-02-28,5530,23
36 months,A,2012-03-31,9623725,2014-03-31,16508,24
36 months,A,2012-03-31,9623725,2014-05-31,2778,26
36 months,A,2012-03-31,9623725,2014-06-30,4014,27
36 months,A,2012-03-31,9623725,2014-08-31,4612,29
36 months,A,2012-03-31,9623725,2014-09-30,3317,30
36 months,A,2012-03-31,9623725,2014-11-30,6807,32
36 months,A,2012-03-31,9623725,2014-12-31,6290,33
36 months,A,2012-03-31,9623725,2015-01-31,1967,34
36 months,A,2012-03-31,9623725,2015-03-31,2713,36
36 months,A,2012-03-31,9623725,2015-08-31,629,41
36 months,A,2012-04-30,8577000,,,
36 months,A,2012-04-30,8577000,2012-09-30,14900,5
36 months,A,2012-04-30,8577000,2012-11-30,12611,7
36 months,A,2012-04-30,8577000,2012-12-31,23352,8
36 months,A,2012-04-30,8577000,2013-01-31,23953,9
36 months,A,2012-04-30,8577000,2013-04-30,13214,12
36 months,A,2012-04-30,8577000,2013-05-31,12389,13
36 months,A,2012-04-30,8577000,2013-06-30,27278,14
36 months,A,2012-04-30,8577000,2013-07-31,27169,15
36 months,A,2012-04-30,8577000,2013-08-31,26554,16
36 months,A,2012-04-30,8577000,2013-10-31,5412,18
36 months,A,2012-04-30,8577000,2013-11-30,6103,19
36 months,A,2012-04-30,8577000,2014-01-31,15534,21
36 months,A,2012-04-30,8577000,2014-03-31,25213,23
36 months,A,2012-04-30,8577000,2014-04-30,26185,24
36 months,A,2012-04-30,8577000,2014-05-31,8783,25
36 months,A,2012-04-30,8577000,2014-07-31,7150,27
36 months,A,2012-04-30,8577000,2014-08-31,4831,28
36 months,A,2012-04-30,8577000,2014-09-30,7663,29
36 months,A,2012-04-30,8577000,2014-11-30,10605,31
36 months,A,2012-04-30,8577000,2014-12-31,7835,32
36 months,A,2012-04-30,8577000,2015-01-31,3554,33
36 months,A,2012-04-30,8577000,2015-03-31,3127,35
36 months,A,2012-04-30,8577000,2015-04-30,941,36
36 months,A,2012-04-30,8577000,2015-05-31,2475,37
36 months,A,2012-05-31,9417900,,,
36 months,A,2012-05-31,9417900,2013-01-31,19112,8
36 months,A,2012-05-31,9417900,2013-02-28,8110,9
36 months,A,2012-05-31,9417900,2013-03-31,9285,10
36 months,A,2012-05-31,9417900,2013-04-30,8091,11
36 months,A,2012-05-31,9417900,2013-05-31,16518,12
36 months,A,2012-05-31,9417900,2013-06-30,7187,13
36 months,A,2012-05-31,9417900,2013-07-31,30359,14
36 months,A,2012-05-31,9417900,2013-08-31,12892,15
36 months,A,2012-05-31,9417900,2013-09-30,13706,16
36 months,A,2012-05-31,9417900,2013-10-31,2426,17
36 months,A,2012-05-31,9417900,2013-11-30,22453,18
36 months,A,2012-05-31,9417900,2013-12-31,27398,19
36 months,A,2012-05-31,9417900,2014-01-31,14431,20
36 months,A,2012-05-31,9417900,2014-03-31,5129,22
36 months,A,2012-05-31,9417900,2014-04-30,6370,23
36 months,A,2012-05-31,9417900,2014-05-31,10782,24
36 months,A,2012-05-31,9417900,2014-06-30,26453,25
36 months,A,2012-05-31,9417900,2014-07-31,626,26
36 months,A,2012-05-31,9417900,2014-09-30,7737,28
36 months,A,2012-05-31,9417900,2014-10-31,4531,29
36 months,A,2012-05-31,9417900,2014-11-30,3850,30
36 months,A,2012-05-31,9417900,2014-12-31,12959,31
36 months,A,2012-05-31,9417900,2015-02-28,2501,33
36 months,A,2012-05-31,9417900,2015-03-31,8741,34
36 months,A,2012-05-31,9417900,2015-04-30,2789,35
36 months,A,2012-06-30,7505500,,,
36 months,A,2012-06-30,7505500,2013-01-31,27733,7
36 months,A,2012-06-30,7505500,2013-02-28,15252,8
36 months,A,2012-06-30,7505500,2013-03-31,14457,9
36 months,A,2012-06-30,7505500,2013-05-31,5097,11
36 months,A,2012-06-30,7505500,2013-06-30,12355,12
36 months,A,2012-06-30,7505500,2013-07-31,52441,13
36 months,A,2012-06-30,7505500,2013-08-31,23135,14
36 months,A,2012-06-30,7505500,2013-09-30,8395,15
36 months,A,2012-06-30,7505500,2013-10-31,27605,16
36 months,A,2012-06-30,7505500,2013-11-30,20928,17
36 months,A,2012-06-30,7505500,2013-12-31,25487,18
36 months,A,2012-06-30,7505500,2014-02-28,8614,20
36 months,A,2012-06-30,7505500,2014-03-31,13921,21
36 months,A,2012-06-30,7505500,2014-04-30,5082,22
36 months,A,2012-06-30,7505500,2014-05-31,17707,23
36 months,A,2012-06-30,7505500,2014-06-30,6674,24
36 months,A,2012-06-30,7505500,2014-08-31,3829,26
36 months,A,2012-06-30,7505500,2014-09-30,20038,27
36 months,A,2012-06-30,7505500,2014-11-30,3601,29
36 months,A,2012-06-30,7505500,2014-12-31,20617,30
36 months,A,2012-06-30,7505500,2015-02-28,5610,32
36 months,A,2012-06-30,7505500,2015-03-31,29607,33
36 months,A,2012-06-30,7505500,2015-05-31,980,35
36 months,A,2012-06-30,7505500,2015-06-30,3097,36
36 months,A,2012-07-31,8631600,,,
36 months,A,2012-07-31,8631600,2013-01-31,6096,6
36 months,A,2012-07-31,8631600,2013-02-28,43027,7
36 months,A,2012-07-31,8631600,2013-03-31,35591,8
36 months,A,2012-07-31,8631600,2013-04-30,28025,9
36 months,A,2012-07-31,8631600,2013-05-31,34503,10
36 months,A,2012-07-31,8631600,2013-06-30,6795,11
36 months,A,2012-07-31,8631600,2013-07-31,28961,12
36 months,A,2012-07-31,8631600,2013-08-31,22781,13
36 months,A,2012-07-31,8631600,2013-09-30,14256,14
36 months,A,2012-07-31,8631600,2013-11-30,42150,16
36 months,A,2012-07-31,8631600,2013-12-31,13648,17
36 months,A,2012-07-31,8631600,2014-01-31,23423,18
36 months,A,2012-07-31,8631600,2014-02-28,23581,19
36 months,A,2012-07-31,8631600,2014-03-31,9395,20
36 months,A,2012-07-31,8631600,2014-05-31,2249,22
36 months,A,2012-07-31,8631600,2014-06-30,8141,23
36 months,A,2012-07-31,8631600,2014-09-30,10064,26
36 months,A,2012-07-31,8631600,2014-11-30,3368,28
36 months,A,2012-07-31,8631600,2014-12-31,15713,29
36 months,A,2012-07-31,8631600,2015-02-28,2386,31
36 months,A,2012-07-31,8631600,2015-04-30,2584,33
36 months,A,2012-07-31,8631600,2015-06-30,1008,35
36 months,A,2012-07-31,8631600,2015-07-31,372,36
36 months,A,2012-07-31,8631600,2015-11-30,2878,40
36 months,A,2012-08-31,11553125,,,
36 months,A,2012-08-31,11553125,2013-01-31,13600,5
36 months,A,2012-08-31,11553125,2013-02-28,5706,6
36 months,A,2012-08-31,11553125,2013-03-31,15027,7
36 months,A,2012-08-31,11553125,2013-04-30,5560,8
36 months,A,2012-08-31,11553125,2013-05-31,10113,9
36 months,A,2012-08-31,11553125,2013-06-30,41073,10
36 months,A,2012-08-31,11553125,2013-07-31,31745,11
36 months,A,2012-08-31,11553125,2013-08-31,44768,12
36 months,A,2012-08-31,11553125,2013-10-31,4151,14
36 months,A,2012-08-31,11553125,2013-12-31,38168,16
36 months,A,2012-08-31,11553125,2014-01-31,6985,17
36 months,A,2012-08-31,11553125,2014-02-28,15322,18
36 months,A,2012-08-31,11553125,2014-03-31,34596,19
36 months,A,2012-08-31,11553125,2014-04-30,17631,20
36 months,A,2012-08-31,11553125,2014-05-31,56990,21
36 months,A,2012-08-31,11553125,2014-06-30,10283,22
36 months,A,2012-08-31,11553125,2014-08-31,13084,24
36 months,A,2012-08-31,11553125,2014-09-30,7471,25
36 months,A,2012-08-31,11553125,2014-10-31,8845,26
36 months,A,2012-08-31,11553125,2014-11-30,11600,27
36 months,A,2012-08-31,11553125,2014-12-31,16702,28
36 months,A,2012-08-31,11553125,2015-01-31,12263,29
36 months,A,2012-08-31,11553125,2015-02-28,2011,30
36 months,A,2012-08-31,11553125,2015-03-31,4533,31
36 months,A,2012-08-31,11553125,2015-04-30,8782,32
36 months,A,2012-08-31,11553125,2015-05-31,1787,33
36 months,A,2012-08-31,11553125,2015-06-30,1972,34
36 months,A,2012-08-31,11553125,2015-07-31,2497,35
36 months,A,2012-09-30,11462075,,,
36 months,A,2012-09-30,11462075,2013-04-30,71577,7
36 months,A,2012-09-30,11462075,2013-06-30,2697,9
36 months,A,2012-09-30,11462075,2013-07-31,12685,10
36 months,A,2012-09-30,11462075,2013-08-31,2960,11
36 months,A,2012-09-30,11462075,2013-11-30,29748,14
36 months,A,2012-09-30,11462075,2013-12-31,13428,15
36 months,A,2012-09-30,11462075,2014-01-31,11365,16
36 months,A,2012-09-30,11462075,2014-02-28,48069,17
36 months,A,2012-09-30,11462075,2014-03-31,34643,18
36 months,A,2012-09-30,11462075,2014-04-30,4624,19
36 months,A,2012-09-30,11462075,2014-05-31,1851,20
36 months,A,2012-09-30,11462075,2014-06-30,12995,21
36 months,A,2012-09-30,11462075,2014-07-31,7204,22
36 months,A,2012-09-30,11462075,2014-08-31,17091,23
36 months,A,2012-09-30,11462075,2014-09-30,26636,24
36 months,A,2012-09-30,11462075,2014-10-31,19809,25
36 months,A,2012-09-30,11462075,2014-11-30,19784,26
36 months,A,2012-09-30,11462075,2014-12-31,8244,27
36 months,A,2012-09-30,11462075,2015-01-31,4468,28
36 months,A,2012-09-30,11462075,2015-03-31,8176,30
36 months,A,2012-09-30,11462075,2015-04-30,2417,31
36 months,A,2012-09-30,11462075,2015-05-31,5066,32
36 months,A,2012-09-30,11462075,2015-07-31,4478,34
36 months,A,2012-09-30,11462075,2015-09-30,1916,36
36 months,A,2012-10-31,11177675,,,
36 months,A,2012-10-31,11177675,2013-03-31,2100,5
36 months,A,2012-10-31,11177675,2013-04-30,2926,6
36 months,A,2012-10-31,11177675,2013-05-31,12164,7
36 months,A,2012-10-31,11177675,2013-06-30,43717,8
36 months,A,2012-10-31,11177675,2013-07-31,2706,9
36 months,A,2012-10-31,11177675,2013-08-31,52668,10
36 months,A,2012-10-31,11177675,2013-09-30,56482,11
36 months,A,2012-10-31,11177675,2013-10-31,12972,12
36 months,A,2012-10-31,11177675,2013-11-30,10061,13
36 months,A,2012-10-31,11177675,2013-12-31,14629,14
36 months,A,2012-10-31,11177675,2014-01-31,49632,15
36 months,A,2012-10-31,11177675,2014-03-31,8850,17
36 months,A,2012-10-31,11177675,2014-04-30,6029,18
36 months,A,2012-10-31,11177675,2014-05-31,11538,19
36 months,A,2012-10-31,11177675,2014-06-30,14878,20
36 months,A,2012-10-31,11177675,2014-08-31,25559,22
36 months,A,2012-10-31,11177675,2014-09-30,19431,23
36 months,A,2012-10-31,11177675,2014-10-31,17780,24
36 months,A,2012-10-31,11177675,2014-11-30,22208,25
36 months,A,2012-10-31,11177675,2014-12-31,14176,26
36 months,A,2012-10-31,11177675,2015-01-31,7934,27
36 months,A,2012-10-31,11177675,2015-02-28,21252,28
36 months,A,2012-10-31,11177675,2015-03-31,9954,29
36 months,A,2012-10-31,11177675,2015-04-30,5512,30
36 months,A,2012-10-31,11177675,2015-05-31,12134,31
36 months,A,2012-10-31,11177675,2015-06-30,2049,32
36 months,A,2012-10-31,11177675,2015-11-30,2475,37
36 months,A,2012-11-30,10206325,,,
36 months,A,2012-11-30,10206325,2013-04-30,6500,5
36 months,A,2012-11-30,10206325,2013-06-30,22320,7
36 months,A,2012-11-30,10206325,2013-08-31,21212,9
36 months,A,2012-11-30,10206325,2013-09-30,15793,10
36 months,A,2012-11-30,10206325,2013-10-31,35694,11
36 months,A,2012-11-30,10206325,2013-11-30,4944,12
36 months,A,2012-11-30,10206325,2013-12-31,23963,13
36 months,A,2012-11-30,10206325,2014-01-31,4436,14
36 months,A,2012-11-30,10206325,2014-02-28,26483,15
36 months,A,2012-11-30,10206325,2014-03-31,8463,16
36 months,A,2012-11-30,10206325,2014-04-30,9647,17
36 months,A,2012-11-30,10206325,2014-05-31,10392,18
36 months,A,2012-11-30,10206325,2014-06-30,22894,19
36 months,A,2012-11-30,10206325,2014-07-31,11089,20
36 months,A,2012-11-30,10206325,2014-08-31,6069,21
36 months,A,2012-11-30,10206325,2014-09-30,23741,22
36 months,A,2012-11-30,10206325,2014-10-31,15050,23
36 months,A,2012-11-30,10206325,2014-11-30,5236,24
36 months,A,2012-11-30,10206325,2014-12-31,4480,25
36 months,A,2012-11-30,10206325,2015-01-31,9720,26
36 months,A,2012-11-30,10206325,2015-02-28,4231,27
36 months,A,2012-11-30,10206325,2015-03-31,4477,28
36 months,A,2012-11-30,10206325,2015-05-31,13175,30
36 months,A,2012-11-30,10206325,2015-06-30,8504,31
36 months,A,2012-11-30,10206325,2015-07-31,9437,32
36 months,A,2012-11-30,10206325,2015-08-31,1415,33
36 months,A,2012-11-30,10206325,2015-12-31,9734,37
36 months,A,2012-12-31,15410125,,,
36 months,A,2012-12-31,15410125,2013-05-31,19000,5
36 months,A,2012-12-31,15410125,2013-08-31,13860,8
36 months,A,2012-12-31,15410125,2013-09-30,39671,9
36 months,A,2012-12-31,15410125,2013-10-31,22372,10
36 months,A,2012-12-31,15410125,2013-11-30,13494,11
36 months,A,2012-12-31,15410125,2013-12-31,10422,12
36 months,A,2012-12-31,15410125,2014-01-31,23062,13
36 months,A,2012-12-31,15410125,2014-02-28,43082,14
36 months,A,2012-12-31,15410125,2014-03-31,14801,15
36 months,A,2012-12-31,15410125,2014-04-30,9238,16
36 months,A,2012-12-31,15410125,2014-05-31,25466,17
36 months,A,2012-12-31,15410125,2014-06-30,22600,18
36 months,A,2012-12-31,15410125,2014-08-31,2451,20
36 months,A,2012-12-31,15410125,2014-09-30,7094,21
36 months,A,2012-12-31,15410125,2015-01-31,7346,25
36 months,A,2012-12-31,15410125,2015-02-28,42065,26
36 months,A,2012-12-31,15410125,2015-03-31,14758,27
36 months,A,2012-12-31,15410125,2015-04-30,8565,28
36 months,A,2012-12-31,15410125,2015-05-31,15269,29
36 months,A,2012-12-31,15410125,2015-06-30,16017,30
36 months,A,2012-12-31,15410125,2015-07-31,8728,31
36 months,A,2012-12-31,15410125,2015-08-31,6140,32
36 months,A,2012-12-31,15410125,2015-09-30,2012,33
36 months,A,2012-12-31,15410125,2015-11-30,2952,35
36 months,A,2013-01-31,14782500,,,
36 months,A,2013-01-31,14782500,2013-09-30,13206,8
36 months,A,2013-01-31,14782500,2013-10-31,25246,9
36 months,A,2013-01-31,14782500,2014-01-31,30084,12
36 months,A,2013-01-31,14782500,2014-02-28,19134,13
36 months,A,2013-01-31,14782500,2014-06-30,24377,17
36 months,A,2013-01-31,14782500,2014-08-31,32514,19
36 months,A,2013-01-31,14782500,2014-10-31,50781,21
36 months,A,2013-01-31,14782500,2014-11-30,15749,22
36 months,A,2013-01-31,14782500,2014-12-31,14576,23
36 months,A,2013-01-31,14782500,2015-02-28,11851,25
36 months,A,2013-01-31,14782500,2015-03-31,16009,26
36 months,A,2013-01-31,14782500,2015-05-31,21133,28
36 months,A,2013-01-31,14782500,2015-06-30,19586,29
36 months,A,2013-01-31,14782500,2015-07-31,6020,30
36 months,A,2013-02-28,17574800,,,
36 months,A,2013-02-28,17574800,2013-07-31,15000,5
36 months,A,2013-02-28,17574800,2013-10-31,11677,8
36 months,A,2013-02-28,17574800,2013-12-31,30611,10
36 months,A,2013-02-28,17574800,2014-01-31,44062,11
36 months,A,2013-02-28,17574800,2014-02-28,6612,12
36 months,A,2013-02-28,17574800,2014-03-31,21608,13
36 months,A,2013-02-28,17574800,2014-05-31,8953,15
36 months,A,2013-02-28,17574800,2014-06-30,23046,16
36 months,A,2013-02-28,17574800,2014-08-31,27190,18
36 months,A,2013-02-28,17574800,2014-09-30,30434,19
36 months,A,2013-02-28,17574800,2014-11-30,25521,21
36 months,A,2013-02-28,17574800,2014-12-31,30328,22
36 months,A,2013-02-28,17574800,2015-01-31,40128,23
36 months,A,2013-02-28,17574800,2015-02-28,20241,24
36 months,A,2013-02-28,17574800,2015-03-31,35705,25
36 months,A,2013-02-28,17574800,2015-04-30,8914,26
36 months,A,2013-02-28,17574800,2015-05-31,9914,27
36 months,A,2013-02-28,17574800,2015-06-30,5731,28
36 months,A,2013-02-28,17574800,2015-07-31,9303,29
36 months,A,2013-02-28,17574800,2015-08-31,3028,30
36 months,A,2013-02-28,17574800,2015-11-30,2577,33
36 months,A,2013-03-31,21105775,,,
36 months,A,2013-03-31,21105775,2013-11-30,37109,8
36 months,A,2013-03-31,21105775,2013-12-31,20025,9
36 months,A,2013-03-31,21105775,2014-01-31,33314,10
36 months,A,2013-03-31,21105775,2014-02-28,17194,11
36 months,A,2013-03-31,21105775,2014-03-31,12776,12
36 months,A,2013-03-31,21105775,2014-04-30,17548,13
36 months,A,2013-03-31,21105775,2014-05-31,43462,14
36 months,A,2013-03-31,21105775,2014-06-30,12519,15
36 months,A,2013-03-31,21105775,2014-07-31,24590,16
36 months,A,2013-03-31,21105775,2014-08-31,6966,17
36 months,A,2013-03-31,21105775,2014-10-31,12024,19
36 months,A,2013-03-31,21105775,2014-11-30,28005,20
36 months,A,2013-03-31,21105775,2014-12-31,12244,21
36 months,A,2013-03-31,21105775,2015-01-31,60557,22
36 months,A,2013-03-31,21105775,2015-02-28,40211,23
36 months,A,2013-03-31,21105775,2015-03-31,5022,24
36 months,A,2013-03-31,21105775,2015-04-30,5864,25
36 months,A,2013-03-31,21105775,2015-07-31,11219,28
36 months,A,2013-03-31,21105775,2015-09-30,1454,30
36 months,A,2013-04-30,20968325,,,
36 months,A,2013-04-30,20968325,2013-11-30,1902,7
36 months,A,2013-04-30,20968325,2013-12-31,19976,8
36 months,A,2013-04-30,20968325,2014-04-30,40649,12
36 months,A,2013-04-30,20968325,2014-05-31,19145,13
36 months,A,2013-04-30,20968325,2014-06-30,6176,14
36 months,A,2013-04-30,20968325,2014-07-31,7828,15
36 months,A,2013-04-30,20968325,2014-08-31,36320,16
36 months,A,2013-04-30,20968325,2014-10-31,16702,18
36 months,A,2013-04-30,20968325,2014-11-30,12835,19
36 months,A,2013-04-30,20968325,2014-12-31,45451,20
36 months,A,2013-04-30,20968325,2015-01-31,6955,21
36 months,A,2013-04-30,20968325,2015-02-28,7950,22
36 months,A,2013-04-30,20968325,2015-03-31,23133,23
36 months,A,2013-04-30,20968325,2015-04-30,17697,24
36 months,A,2013-04-30,20968325,2015-05-31,12767,25
36 months,A,2013-04-30,20968325,2015-06-30,10698,26
36 months,A,2013-04-30,20968325,2015-07-31,50892,27
36 months,A,2013-05-31,15423125,,,
36 months,A,2013-05-31,15423125,2014-01-31,40730,8
36 months,A,2013-05-31,15423125,2014-03-31,17968,10
36 months,A,2013-05-31,15423125,2014-05-31,51455,12
36 months,A,2013-05-31,15423125,2014-06-30,13138,13
36 months,A,2013-05-31,15423125,2014-07-31,61229,14
36 months,A,2013-05-31,15423125,2014-08-31,17144,15
36 months,A,2013-05-31,15423125,2014-09-30,24531,16
36 months,A,2013-05-31,15423125,2015-02-28,20144,21
36 months,A,2013-05-31,15423125,2015-03-31,28197,22
36 months,A,2013-05-31,15423125,2015-04-30,7683,23
36 months,A,2013-05-31,15423125,2015-06-30,4669,25
36 months,A,2013-05-31,15423125,2015-07-31,5732,26
36 months,A,2013-06-30,16483400,,,
36 months,A,2013-06-30,16483400,2014-01-31,9513,7
36 months,A,2013-06-30,16483400,2014-04-30,16128,10
36 months,A,2013-06-30,16483400,2014-06-30,27735,12
36 months,A,2013-06-30,16483400,2014-07-31,5585,13
36 months,A,2013-06-30,16483400,2014-11-30,21119,17
36 months,A,2013-06-30,16483400,2014-12-31,23008,18
36 months,A,2013-06-30,16483400,2015-01-31,13044,19
36 months,A,2013-06-30,16483400,2015-03-31,6714,21
36 months,A,2013-06-30,16483400,2015-04-30,5540,22
36 months,A,2013-06-30,16483400,2015-05-31,11444,23
36 months,A,2013-06-30,16483400,2015-06-30,28392,24
36 months,A,2013-07-31,18735350,,,
36 months,A,2013-07-31,18735350,2014-06-30,11885,11
36 months,A,2013-07-31,18735350,2014-07-31,18630,12
36 months,A,2013-07-31,18735350,2014-08-31,22206,13
36 months,A,2013-07-31,18735350,2014-09-30,24594,14
36 months,A,2013-07-31,18735350,2014-10-31,8756,15
36 months,A,2013-07-31,18735350,2015-01-31,19901,18
36 months,A,2013-07-31,18735350,2015-03-31,3155,20
36 months,A,2013-07-31,18735350,2015-04-30,19852,21
36 months,A,2013-07-31,18735350,2015-05-31,10285,22
36 months,A,2013-07-31,18735350,2015-06-30,12142,23
36 months,A,2013-07-31,18735350,2015-07-31,45822,24
36 months,A,2013-07-31,18735350,2015-09-30,6796,26
36 months,A,2013-08-31,18701675,,,
36 months,A,2013-08-31,18701675,2014-02-28,4389,6
36 months,A,2013-08-31,18701675,2014-03-31,41075,7
36 months,A,2013-08-31,18701675,2014-06-30,10499,10
36 months,A,2013-08-31,18701675,2014-08-31,30337,12
36 months,A,2013-08-31,18701675,2014-10-31,29599,14
36 months,A,2013-08-31,18701675,2014-11-30,11843,15
36 months,A,2013-08-31,18701675,2014-12-31,14443,16
36 months,A,2013-08-31,18701675,2015-01-31,18551,17
