term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,A,2011-11-30,5857575,2013-03-31,9467,16
36 months,A,2011-11-30,5857575,2013-05-31,9521,18
36 months,A,2011-11-30,5857575,2013-06-30,12630,19
36 months,A,2011-11-30,5857575,2013-11-30,2013,24
36 months,A,2011-11-30,5857575,2013-12-31,9378,25
36 months,A,2011-11-30,5857575,2014-02-28,2023,27
36 months,A,2011-11-30,5857575,2014-03-31,6324,28
36 months,A,2011-11-30,5857575,2014-04-30,8648,29
36 months,A,2011-11-30,5857575,2014-06-30,3327,31
36 months,A,2011-11-30,5857575,2014-07-31,4537,32
36 months,A,2011-12-31,4680675,,,
36 months,A,2011-12-31,4680675,2012-06-30,3121,6
36 months,A,2011-12-31,4680675,2012-08-31,7772,8
36 months,A,2011-12-31,4680675,2012-11-30,4236,11
36 months,A,2011-12-31,4680675,2013-01-31,28701,13
36 months,A,2011-12-31,4680675,2013-02-28,8491,14
36 months,A,2011-12-31,4680675,2013-03-31,46463,15
36 months,A,2011-12-31,4680675,2013-05-31,3490,17
36 months,A,2011-12-31,4680675,2013-06-30,11990,18
36 months,A,2011-12-31,4680675,2013-07-31,6383,19
36 months,A,2011-12-31,4680675,2013-08-31,29179,20
36 months,A,2011-12-31,4680675,2013-09-30,5278,21
36 months,A,2011-12-31,4680675,2013-10-31,6914,22
36 months,A,2011-12-31,4680675,2013-11-30,12151,23
36 months,A,2011-12-31,4680675,2013-12-31,2507,24
36 months,A,2011-12-31,4680675,2014-01-31,671,25
36 months,A,2011-12-31,4680675,2014-02-28,9533,26
36 months,A,2011-12-31,4680675,2014-03-31,10681,27
36 months,A,2011-12-31,4680675,2014-04-30,4583,28
36 months,A,2011-12-31,4680675,2014-05-31,925,29
36 months,A,2011-12-31,4680675,2014-06-30,6466,30
36 months,A,2011-12-31,4680675,2014-07-31,1513,31
36 months,A,2011-12-31,4680675,2014-08-31,3669,32
36 months,A,2011-12-31,4680675,2014-10-31,1479,34
36 months,A,2011-12-31,4680675,2014-12-31,1888,36
36 months,A,2011-12-31,4680675,2015-01-31,783,37
36 months,A,2011-12-31,4680675,2015-04-30,456,40
36 months,A,2012-01-31,7391800,,,
36 months,A,2012-01-31,7391800,2012-06-30,7500,5
36 months,A,2012-01-31,7391800,2012-07-31,19514,6
36 months,A,2012-01-31,7391800,2012-08-31,4748,7
36 months,A,2012-01-31,7391800,2012-09-30,19402,8
36 months,A,2012-01-31,7391800,2012-11-30,10865,10
36 months,A,2012-01-31,7391800,2012-12-31,3058,11
36 months,A,2012-01-31,7391800,2013-01-31,53988,12
36 months,A,2012-01-31,7391800,2013-02-28,21772,13
36 months,A,2012-01-31,7391800,2013-03-31,32340,14
36 months,A,2012-01-31,7391800,2013-04-30,11795,15
36 months,A,2012-01-31,7391800,2013-05-31,14453,16
36 months,A,2012-01-31,7391800,2013-06-30,23543,17
36 months,A,2012-01-31,7391800,2013-09-30,15868,20
